Phospho_Root_Tissues	Phospho_Root_Meristem	Phospho_Root_Meristem_Elong	Phospho_Root_Meristem_Elong_2	Phospho_Root_Cortex	Phospho_Root_Cortex_Silk	Phospho_Root_Cortex_&_Silk	Phospho_Multiple_7	Phospho_Multiple_6	Phospho_Multiple_5	Phospho_Multiple_1	Phospho_Mature_Pollen	Phospho_Mature_Leaf	Phospho_Leaf_Zone_3	Phospho_Leaf_Zone_3_&_Embryo_20	Phospho_Internodes	"Phospho_Internode,Silk,Pr.Root"	Phospho_Germinating_Kernals	Phospho_Endosperm_Crown	Phospho_Endosperm_12_DAP	Phospho_EndoCrown_&_PericapAl	Phospho_Embryo_20_DAP	"Phospho_EarPrim,Leaf1-3Embr20"	Phospho_Dividing_Meristematic	RNA_Silk	RNA_Silk_&_Famale_Spiklet	RNA_Root_Tissues	RNA_Root_Meristem	RNA_Root_Meristem_Elongation	RNA_Root_Cortex	RNA_Root_Cortex_2	RNA_Pericarp_Aleurone	RNA_Multiple_Dividing_Tissues	RNA_Multiple_4	RNA_Mature_Pollen	RNA_Mature_Leaf_8	RNA_Internodes_&_Veg.Meristem	RNA_Germinating_Kernals	RNA_Germinating_Kernals_2	RNA_FemaleSpikIt_&_VegMeristem	RNA_Female_Spikelet_&_Internode	RNA_Endosperm_12_DAP	RNA_EndoCrown_&_PericarpAl	RNA_Embryo	RNA_Embryo_20_DAP	RNA_Embryo_Ear_Primordia	RNA_Ear_Primordia	"RNA_EarPrim,Leaf1-3,Embr20"	Protein_Dividing_Meristematic	Protein_EndoCrown&PericarpAl	Protein_Germinating_Kernals	Protein_Internodes_2	Protein_Internodes	Protein_Leaf_Zone_3	Protein_Mature_Leaf_8	Protein_Mature_Pollen	Protein_Multiple_1	Protein_Multiple_2	Protein_Multiple_3	Protein_Pericarp_Aleurone	Protein_PrimaryRoot&RootCortex	Protein_Root_Cortex_Silk	Protein_Root_Cortex	Protein_Root_Meristem	Protein_Root_Tissues	Protein_Young_Seed_(En&Em)
																														GRMZM2G130580																	GRMZM5G894868	GRMZM2G412937																	
																														GRMZM5G868875																	GRMZM2G175313	GRMZM2G413113																	
																														GRMZM2G023330																	GRMZM5G835487	GRMZM2G413193																	
																														GRMZM2G152523																	GRMZM2G152819	GRMZM2G413388																	
																														GRMZM2G041269																	GRMZM2G148518	GRMZM2G413544																	
																														GRMZM2G002515																	GRMZM2G141436	GRMZM2G413750																	
																														GRMZM2G174943																	GRMZM2G068323	GRMZM2G413829																	
																														GRMZM2G359064																	GRMZM2G052880	GRMZM2G414043																	
																														GRMZM2G056500																	GRMZM2G348850	GRMZM2G414141																	
																														GRMZM2G472226																	GRMZM5G865453	GRMZM2G414373																	
																														GRMZM2G416644																	GRMZM2G014106	GRMZM2G414387																	
																														AC215880.3_FG003																	GRMZM5G840931	GRMZM2G414496																	
																														GRMZM2G115487																	GRMZM2G132504	GRMZM2G414813																	
																														GRMZM2G178289																	GRMZM2G012216	GRMZM2G414844																	
																														GRMZM2G009083																	GRMZM2G368678	GRMZM2G414866																	
																														GRMZM2G314125																	GRMZM2G110000	GRMZM2G414915																	
																														GRMZM2G331393																	AC205326.3_FG002	GRMZM2G414995																	
																														AC198725.4_FG009																	GRMZM2G155503	GRMZM2G415012																	
																														AC235547.1_FG005																	GRMZM2G446253	GRMZM2G415334																	
																														GRMZM2G163266																	GRMZM2G329944	GRMZM2G415433																	
																														GRMZM5G832805																	GRMZM2G111228	GRMZM2G415491																	
																														GRMZM2G026203																	GRMZM2G118022	GRMZM2G415793																	
																														GRMZM2G163572																	GRMZM2G141804	GRMZM2G416019																	
																														GRMZM2G001205																	GRMZM2G130739	GRMZM2G416069																	
																														GRMZM2G173965																	GRMZM2G135073	GRMZM2G416308																	
																														GRMZM2G321354																	GRMZM2G449163	GRMZM2G416426																	
																														GRMZM2G047065																	GRMZM2G102032	GRMZM2G416498																	
																														GRMZM2G075436																	GRMZM5G897073	GRMZM2G416501																	
																														GRMZM2G343854																	GRMZM2G159756	GRMZM2G416541																	
																														GRMZM2G384536																	GRMZM2G374065	GRMZM2G416684																	
																														GRMZM5G891327																	GRMZM2G047362	GRMZM2G416719																	
																														GRMZM2G174537																	GRMZM5G869532	GRMZM2G417089																	
																														GRMZM2G142544																	GRMZM2G134753	GRMZM2G417223																	
																														GRMZM2G114471																	GRMZM2G460472	GRMZM2G417229																	
																														GRMZM2G308369																	GRMZM2G314661	GRMZM2G417402																	
																														GRMZM2G014282																	GRMZM2G018756	GRMZM2G417455																	
																														GRMZM2G002656																	GRMZM2G061890	GRMZM2G417682																	
																														GRMZM2G474575																	GRMZM2G047572	GRMZM2G417835																	
																														AC197147.3_FG002																	AC200063.3_FG003	GRMZM2G417859																	
																														GRMZM2G417070																	GRMZM2G133262	GRMZM2G417945																	
																														GRMZM2G062844																	AC194965.4_FG001	GRMZM2G417963																	
																														GRMZM5G822928																	GRMZM5G806898	GRMZM2G418232																	
																														GRMZM2G406196																	GRMZM2G056598	GRMZM2G418263																	
																														GRMZM5G831835																	GRMZM2G471115	GRMZM2G418294																	
																														AC195912.2_FG001																	GRMZM2G409839	GRMZM2G418515																	
																														GRMZM5G802953																	GRMZM2G317738	GRMZM2G418604																	
																														GRMZM2G112057																	GRMZM2G300624	GRMZM2G419085																	
																														GRMZM2G082036																	GRMZM5G885928	GRMZM2G419111																	
																														GRMZM5G811042																	GRMZM2G002143	GRMZM2G419953																	
																														GRMZM2G018849																	GRMZM5G824137	GRMZM2G419969																	
																														GRMZM2G037867																	GRMZM2G114899	GRMZM2G420121																	
																														GRMZM2G390804																	AC197714.3_FG005	GRMZM2G420188																	
																														GRMZM2G096412																	GRMZM2G145232	GRMZM2G420432																	
																														GRMZM2G324131																	GRMZM2G133291	GRMZM2G420789																	
																														GRMZM2G157196																	GRMZM2G056283	GRMZM2G420926																	
																														GRMZM2G135192																	GRMZM2G384298	GRMZM2G421234																	
																														GRMZM2G032478																	AC206031.3_FG007	GRMZM2G421541																	
																														GRMZM5G860209																	AC196465.3_FG006	GRMZM2G421614																	
																														GRMZM2G002225																	GRMZM2G412674	GRMZM2G421829																	
																														GRMZM2G005066																	GRMZM2G129615	GRMZM2G422205																	
																														GRMZM2G120257																	GRMZM2G057044	GRMZM2G422373																	
																														GRMZM2G425965																	GRMZM2G702155	GRMZM2G422537																	
																														GRMZM5G850422																	GRMZM2G145556	GRMZM2G422644																	
																														GRMZM5G848656																	GRMZM2G362942	GRMZM2G422649																	
																														GRMZM2G074213																	GRMZM2G154087	GRMZM2G422651																	
																														GRMZM2G300205																	GRMZM2G149031	GRMZM2G423027																	
																														GRMZM5G814654																	GRMZM5G823306	GRMZM2G423169																	
																														AC219035.2_FG008																	GRMZM2G170088	GRMZM2G423292																	
																														GRMZM2G458256																	GRMZM2G006325	GRMZM2G423337																	
																														GRMZM2G349749																	GRMZM2G507841	GRMZM2G423456																	
																														GRMZM2G130191																	GRMZM2G346693	GRMZM2G423476																	
																														GRMZM2G434926																	GRMZM2G133308	GRMZM2G423861																	
																														GRMZM2G444814																	GRMZM5G811594	GRMZM2G423886																	
																														GRMZM2G180714																	GRMZM2G413709	GRMZM2G424053																	
																														GRMZM2G016558																	GRMZM2G395736	GRMZM2G424181																	
																														AC185467.3_FG001																	GRMZM5G880993	GRMZM2G424241																	
																														GRMZM2G081878																	GRMZM5G877077	GRMZM2G424577																	
																														GRMZM5G893726																	GRMZM2G429442	GRMZM2G424582																	
																														GRMZM5G878346																	GRMZM2G175610	GRMZM2G424595																	
																														GRMZM2G068011																	GRMZM2G046037	GRMZM2G424651																	
																														GRMZM2G139765																	GRMZM2G110774	GRMZM2G424783																	
																														GRMZM2G448656																	GRMZM2G042295	GRMZM2G424873																	
																														GRMZM2G142007																	GRMZM2G098420	GRMZM2G425236																	
																														GRMZM2G571140																	GRMZM2G019931	GRMZM2G425377																	
																														GRMZM2G303361																	GRMZM2G062045	GRMZM2G426229																	
																														GRMZM2G174615																	GRMZM2G417297	GRMZM2G426275																	
																														GRMZM2G313963																	GRMZM2G167247	GRMZM2G426486																	
																														GRMZM2G099144																	GRMZM5G817128	GRMZM2G426591																	
																														GRMZM2G010936																	GRMZM2G315594	GRMZM2G426847																	
																														GRMZM2G100969																	GRMZM2G004188	GRMZM2G426964																	
																														GRMZM2G534288																	AC190734.2_FG006	GRMZM2G427031																	
																														GRMZM5G865115																	GRMZM2G002138	GRMZM2G427106																	
																														GRMZM2G017170																	GRMZM2G021483	GRMZM2G427337																	
																														AC190498.1_FG007																	GRMZM2G335344	GRMZM2G427408																	
																														AC210026.3_FG001																	GRMZM2G570301	GRMZM2G427444																	
																														GRMZM2G568395																	GRMZM2G111491	GRMZM2G427451																	
																														GRMZM2G443445																	AC198871.3_FG001	GRMZM2G427529																	
																														GRMZM2G016370																	GRMZM2G180158	GRMZM2G427672																	
																														GRMZM2G035994																	GRMZM5G872204	GRMZM2G428242																	
																														GRMZM2G110067																	GRMZM2G177413	GRMZM2G428933																	
																														GRMZM2G402708																	GRMZM2G156565	GRMZM2G429017																	
																														GRMZM2G065896																	GRMZM2G106790	GRMZM2G429113																	
																														GRMZM2G099642																	AC209705.3_FG004	GRMZM2G429169																	
																														GRMZM2G054876																	GRMZM2G535272	GRMZM2G429231																	
																														GRMZM2G152287																	GRMZM2G000630	GRMZM2G429710																	
																														GRMZM2G047414																	GRMZM2G054870	GRMZM2G430027																	
																														GRMZM2G479113																	GRMZM2G416550	GRMZM2G430362																	
																														GRMZM2G157327																	GRMZM2G481548	GRMZM2G430680																	
																														GRMZM2G032443																	GRMZM2G003839	GRMZM2G430685																	
																														GRMZM2G007130																	AC206217.2_FG009	GRMZM2G430745																	
																														GRMZM2G440104																	GRMZM2G351021	GRMZM2G431157																	
																														GRMZM2G428119																	GRMZM2G010755	GRMZM2G431251																	
																														GRMZM2G021607																	GRMZM2G367813	GRMZM2G431314																	
																														AC216886.3_FG001																	GRMZM2G068112	GRMZM2G431504																	
																														GRMZM2G374074																	GRMZM2G423229	GRMZM2G431708																	
																														GRMZM5G800211																	GRMZM5G878608	GRMZM2G431885																	
																														GRMZM2G111117																	GRMZM2G111017	GRMZM2G432050																	
																														GRMZM2G030325																	GRMZM2G062969	GRMZM2G432075																	
																														GRMZM2G110013																	GRMZM5G888564	GRMZM2G432566																	
																														GRMZM2G447083																	GRMZM2G089565	GRMZM2G432642																	
																														GRMZM2G554000																	GRMZM2G082167	GRMZM2G432662																	
																														GRMZM2G333582																	GRMZM2G068808	GRMZM2G432722																	
																														GRMZM5G836025																	GRMZM2G087513	GRMZM2G432738																	
																														GRMZM5G816634																	GRMZM2G529276	GRMZM2G432926																	
																														GRMZM2G318375																	AF466202.2_FG008	GRMZM2G433333																	
																														AC202435.3_FG001																	GRMZM5G865738	GRMZM2G433557																	
																														GRMZM2G071192																	GRMZM5G835794	GRMZM2G433702																	
																														AC234526.1_FG005																	GRMZM2G556180	GRMZM2G433801																	
																														GRMZM5G866013																	GRMZM2G324320	GRMZM2G433942																	
																														GRMZM5G845142																	GRMZM2G351382	GRMZM2G434173																	
																														GRMZM2G374213																	GRMZM5G812738	GRMZM2G434277																	
																														GRMZM2G005499																	GRMZM2G167167	GRMZM2G434696																	
																														GRMZM5G822854																	GRMZM2G325328	GRMZM2G435049																	
																														GRMZM2G003326																	GRMZM2G044797	GRMZM2G435373																	
																														GRMZM2G081744																	GRMZM2G079904	GRMZM2G435545																	
																														GRMZM5G834873																	GRMZM2G149741	GRMZM2G435627																	
																														GRMZM2G533520																	GRMZM2G073754	GRMZM2G435765																	
																														GRMZM2G168371																	GRMZM2G315257	GRMZM2G436001																	
																														GRMZM2G015280																	GRMZM2G161414	GRMZM2G436092																	
																														GRMZM2G061232																	GRMZM2G062476	GRMZM2G436319																	
																														GRMZM2G039399																	GRMZM2G401831	GRMZM2G436429																	
																														GRMZM2G360835																	GRMZM2G098088	GRMZM2G436511																	
																														AC186661.3_FG004																	AC234160.1_FG001	GRMZM2G436730																	
																														GRMZM2G463483																	GRMZM2G372540	GRMZM2G436981																	
																														GRMZM2G175207																	GRMZM2G327311	GRMZM2G437119																	
																														GRMZM5G849868																	GRMZM2G035445	GRMZM2G437859																	
																														GRMZM2G547026																	GRMZM2G123791	GRMZM2G437977																	
																														GRMZM2G456487																	GRMZM2G363535	GRMZM2G438293																	
																														GRMZM2G066755																	GRMZM2G466139	GRMZM2G438386																	
																														GRMZM2G329002																	GRMZM5G818376	GRMZM2G438438																	
																														GRMZM2G015892																	GRMZM2G056400	GRMZM2G438524																	
																														AC233952.1_FG008																	GRMZM2G137694	GRMZM2G438602																	
																														GRMZM2G160116																	GRMZM2G097502	GRMZM2G438622																	
																														GRMZM2G025105																	GRMZM2G028928	GRMZM2G438722																	
																														GRMZM2G151553																	GRMZM2G561754	GRMZM2G438895																	
																														GRMZM2G040838																	GRMZM2G324863	GRMZM2G438938																	
																														GRMZM2G030041																	GRMZM2G139369	GRMZM2G439203																	
																														AC225718.2_FG004																	GRMZM2G027608	GRMZM2G439311																	
																														GRMZM2G517423																	GRMZM2G440313	GRMZM2G439339																	
																														GRMZM2G327907																	GRMZM5G852815	GRMZM2G439457																	
																														GRMZM2G128434																	GRMZM2G534663	GRMZM2G439578																	
																														GRMZM2G359033																	GRMZM2G047412	GRMZM2G439884																	
																														GRMZM2G029065																	GRMZM2G429241	GRMZM2G439950																	
																														GRMZM5G885005																	GRMZM2G056773	GRMZM2G440614																	
																														GRMZM2G000520																	GRMZM2G312928	GRMZM2G440785																	
																														GRMZM2G028640																	GRMZM2G165993	GRMZM2G440831																	
																														GRMZM2G478160																	GRMZM2G051330	GRMZM2G440916																	
																														GRMZM5G882025																	GRMZM2G071613	GRMZM2G440943																	
																														GRMZM5G888428																	GRMZM2G043250	GRMZM2G440951																	
																														GRMZM2G087556																	GRMZM2G008719	GRMZM2G440968																	
																														GRMZM2G370405																	GRMZM2G025072	GRMZM2G441583																	
																														GRMZM2G011968																	GRMZM2G045109	GRMZM2G441753																	
																														GRMZM2G040094																	GRMZM2G113351	GRMZM2G442129																	
																														GRMZM2G022416																	GRMZM2G528159	GRMZM2G442195																	
																														GRMZM2G142390																	GRMZM2G456241	GRMZM2G442277																	
																														GRMZM2G337815																	GRMZM2G101791	GRMZM2G442324																	
																														GRMZM2G308612																	GRMZM2G145579	GRMZM2G442425																	
																														GRMZM2G006347																	GRMZM2G113382	GRMZM2G442523																	
																														GRMZM2G445261																	GRMZM2G074514	GRMZM2G442548																	
																														GRMZM5G800764																	AC186020.3_FG003	GRMZM2G442551																	
																														GRMZM2G475958																	GRMZM2G049322	GRMZM2G442698																	
																														GRMZM5G892675																	GRMZM2G168697	GRMZM2G443256																	
																														GRMZM5G891558																	GRMZM2G070885	GRMZM2G443509																	
																														GRMZM2G005554																	GRMZM2G142534	GRMZM2G443668																	
																														GRMZM2G454018																	GRMZM2G158645	GRMZM2G443808																	
																														AC155434.2_FG002																	GRMZM2G415791	GRMZM2G443814																	
																														GRMZM2G549431																	GRMZM2G440943	GRMZM2G443927																	
																														AC177922.2_FG002																	GRMZM2G041701	GRMZM2G444643																	
																														GRMZM2G031338																	GRMZM2G103556	GRMZM2G444692																	
																														GRMZM2G082959																	GRMZM2G402088	GRMZM2G444784																	
																														GRMZM2G433579																	GRMZM2G076169	GRMZM2G444808																	
																														GRMZM5G865943																	GRMZM2G103436	GRMZM2G445100																	
																														GRMZM5G881846																	GRMZM2G162460	GRMZM2G445169																	
																														GRMZM5G860241																	GRMZM2G534348	GRMZM2G445602																	
																														GRMZM2G089244																	GRMZM2G155980	GRMZM2G445617																	
																														GRMZM2G131476																	GRMZM2G172183	GRMZM2G445626																	
																														GRMZM2G163079																	GRMZM2G144701	GRMZM2G445766																	
																														GRMZM2G457523																	GRMZM2G100107	GRMZM2G445958																	
																														GRMZM2G373435																	GRMZM2G125342	GRMZM2G446170																	
																														GRMZM2G043855																	GRMZM2G080176	GRMZM2G446872																	
																														GRMZM2G117865																	GRMZM2G006329	GRMZM2G446895																	
																														GRMZM2G435120																	GRMZM2G053379	GRMZM2G447406																	
																														GRMZM2G180547																	GRMZM2G128648	GRMZM2G447433																	
																														GRMZM2G022979																	GRMZM2G151598	GRMZM2G447447																	
																														GRMZM2G157169																	GRMZM2G110083	GRMZM2G447455																	
																														GRMZM5G818232																	GRMZM5G869779	GRMZM2G447551																	
																														GRMZM2G105980																	GRMZM2G426486	GRMZM2G447745																	
																														GRMZM2G179092																	AC202445.4_FG004	GRMZM2G447857																	
																														GRMZM2G545041																	GRMZM5G850879	GRMZM2G447976																	
																														GRMZM2G064919																	GRMZM5G856979	GRMZM2G448074																	
																														AC183319.3_FG001																	GRMZM2G119498	GRMZM2G448104																	
																														GRMZM2G153217																	GRMZM2G034773	GRMZM2G448241																	
																														GRMZM2G125487																	GRMZM2G090435	GRMZM2G448456																	
																														GRMZM5G845018																	GRMZM2G047301	GRMZM2G448523																	
																														GRMZM2G137421																	GRMZM2G100067	GRMZM2G448692																	
																														GRMZM2G126006																	GRMZM2G173770	GRMZM2G448883																	
																														GRMZM2G505232																	GRMZM2G421655	GRMZM2G449083																	
																														GRMZM2G306597																	GRMZM2G165746	GRMZM2G449123																	
																														GRMZM2G449019																	GRMZM2G375956	GRMZM2G449355																	
																														GRMZM2G492138																	GRMZM5G894854	GRMZM2G449569																	
																														GRMZM2G070109																	GRMZM2G387226	GRMZM2G449909																	
																														GRMZM2G001405																	GRMZM2G408740	GRMZM2G450055																	
																														GRMZM2G159952																	GRMZM2G046288	GRMZM2G450424																	
																														GRMZM2G008072																	GRMZM2G092648	GRMZM2G450498																	
																														GRMZM2G425206																	GRMZM2G089948	GRMZM2G450515																	
																														AC201898.4_FG004																	GRMZM2G095634	GRMZM2G450659																	
																														GRMZM2G027960																	GRMZM5G832914	GRMZM2G450920																	
																														GRMZM2G027700																	GRMZM2G045421	GRMZM2G451357																	
																														GRMZM2G008316																	GRMZM2G151944	GRMZM2G451483																	
																														GRMZM2G542591																	GRMZM5G807343	GRMZM2G451604																	
																														GRMZM2G404530																	GRMZM2G303118	GRMZM2G451716																	
																														GRMZM2G108023																	GRMZM2G147335	GRMZM2G451882																	
																														GRMZM2G109805																	GRMZM2G510964	GRMZM2G452529																	
																														GRMZM2G398135																	GRMZM2G037555	GRMZM2G452630																	
																														GRMZM2G032430																	GRMZM5G877644	GRMZM2G452633																	
																														GRMZM2G180082																	GRMZM2G471242	GRMZM2G453001																	
																														AC198699.3_FG004																	GRMZM2G466385	GRMZM2G453111																	
																														GRMZM2G079850																	GRMZM2G456618	GRMZM2G453349																	
																														AC203808.4_FG004																	GRMZM2G099048	GRMZM2G453388																	
																														GRMZM2G302373																	GRMZM2G135362	GRMZM2G453424																	
																														GRMZM2G004898																	GRMZM2G158531	GRMZM2G453684																	
																														AC215861.2_FG006																	GRMZM5G892094	GRMZM2G453794																	
																														GRMZM5G880292																	GRMZM2G134836	GRMZM2G453879																	
																														GRMZM2G114660																	GRMZM2G337819	GRMZM2G455087																	
																														GRMZM2G452630																	GRMZM2G092723	GRMZM2G455171																	
																														GRMZM2G113917																	GRMZM5G834874	GRMZM2G455642																	
																														GRMZM2G152576																	GRMZM2G401561	GRMZM2G455687																	
																														GRMZM2G471627																	GRMZM2G140394	GRMZM2G455749																	
																														GRMZM2G024898																	GRMZM2G015921	GRMZM2G456570																	
																														GRMZM2G147752																	GRMZM2G160013	GRMZM2G456626																	
																														GRMZM2G154752																	GRMZM2G134959	GRMZM2G456690																	
																														GRMZM2G054570																	AC208907.3_FG005	GRMZM2G456835																	
																														AC217050.4_FG007																	GRMZM5G892495	GRMZM2G457147																	
																														AC203441.3_FG006																	GRMZM2G420092	GRMZM2G457201																	
																														GRMZM2G414317																	GRMZM5G885061	GRMZM2G457381																	
																														GRMZM2G104147																	GRMZM2G072088	GRMZM2G457415																	
																														GRMZM2G416750																	GRMZM2G541978	GRMZM2G457534																	
																														GRMZM2G090837																	GRMZM2G385413	GRMZM2G457699																	
																														GRMZM2G144420																	GRMZM2G401769	GRMZM2G457789																	
																														GRMZM2G482047																	AC177907.4_FG006	GRMZM2G457889																	
																														GRMZM5G887696																	GRMZM2G329867	GRMZM2G458164																	
																														GRMZM2G427672																	GRMZM2G106235	GRMZM2G458283																	
																														GRMZM2G064949																	GRMZM2G433117	GRMZM2G458549																	
																														GRMZM2G138291																	GRMZM2G027737	GRMZM2G458665																	
																														GRMZM2G012071																	GRMZM2G048987	GRMZM2G458856																	
																														GRMZM2G581155																	GRMZM2G098999	GRMZM2G458888																	
																														GRMZM2G095322																	GRMZM2G343218	GRMZM2G459474																	
																														GRMZM2G041839																	GRMZM2G400126	GRMZM2G459642																	
																														GRMZM5G870046																	GRMZM2G126652	GRMZM2G459746																	
																														GRMZM5G887063																	GRMZM2G105822	GRMZM2G459811																	
																														GRMZM2G170501																	GRMZM2G161713	GRMZM2G459854																	
																														GRMZM2G026562																	GRMZM2G102585	GRMZM2G459874																	
																														GRMZM5G884067																	GRMZM2G116031	GRMZM2G459892																	
																														GRMZM2G013663																	GRMZM2G162316	GRMZM2G460012																	
																														GRMZM2G014729																	GRMZM2G500834	GRMZM2G460078																	
																														GRMZM2G468502																	GRMZM2G442265	GRMZM2G460544																	
																														GRMZM2G018954																	GRMZM2G451483	GRMZM2G460638																	
																														GRMZM2G545521																	AC211277.2_FG002	GRMZM2G460860																	
																														GRMZM2G468657																	GRMZM2G013306	GRMZM2G461278																	
																														GRMZM2G110395																	GRMZM2G018971	GRMZM2G461356																	
																														AC206944.3_FG002																	GRMZM2G376059	GRMZM2G461557																	
																														GRMZM2G021310																	GRMZM2G502380	GRMZM2G461586																	
																														GRMZM2G701553																	GRMZM2G081429	GRMZM2G461936																	
																														GRMZM2G535236																	GRMZM2G122935	GRMZM2G462062																	
																														GRMZM2G080549																	GRMZM2G391042	GRMZM2G462134																	
																														GRMZM2G703742																	AC210298.2_FG002	GRMZM2G462325																	
																														GRMZM2G415077																	GRMZM2G046321	GRMZM2G462803																	
																														GRMZM5G847020																	GRMZM2G075158	GRMZM2G462883																	
																														GRMZM2G701109																	GRMZM2G094080	GRMZM2G463160																	
																														GRMZM2G164082																	GRMZM2G035449	GRMZM2G463227																	
																														GRMZM2G061403																	GRMZM2G093316	GRMZM2G463464																	
																														GRMZM2G309163																	GRMZM2G070998	GRMZM2G463730																	
																														GRMZM2G079790																	GRMZM2G025037	GRMZM2G463843																	
																														GRMZM2G043501																	GRMZM2G533370	GRMZM2G463904																	
																														GRMZM2G104484																	GRMZM2G510565	GRMZM2G464000																	
																														GRMZM5G813642																	GRMZM2G468479	GRMZM2G464137																	
																														GRMZM2G348154																	GRMZM2G319167	GRMZM2G464401																	
																														GRMZM2G171565																	GRMZM2G104268	GRMZM2G464575																	
																														AC195582.3_FG005																	GRMZM2G107056	GRMZM2G464754																	
																														GRMZM5G895928																	GRMZM2G062037	GRMZM2G464976																	
																														GRMZM2G321153																	GRMZM5G871936	GRMZM2G464985																	
																														GRMZM2G158682																	GRMZM2G424595	GRMZM2G465091																	
																														GRMZM2G459052																	GRMZM2G038233	GRMZM2G465169																	
																														GRMZM2G320206																	GRMZM2G382341	GRMZM2G465333																	
																														AC217241.3_FG004																	GRMZM5G861035	GRMZM2G465553																	
																														GRMZM2G125012																	GRMZM2G504910	GRMZM2G465728																	
																														GRMZM2G011436																	AC213594.3_FG002	GRMZM2G465833																	
																														GRMZM2G068436																	GRMZM2G100579	GRMZM2G466139																	
																														GRMZM2G396402																	GRMZM2G073578	GRMZM2G466394																	
																														GRMZM2G170413																	AC204070.3_FG004	GRMZM2G466543																	
																														GRMZM5G862946																	GRMZM2G023372	GRMZM2G466560																	
																														GRMZM5G815154																	GRMZM2G053744	GRMZM2G467069																	
																														GRMZM2G075742																	GRMZM2G090086	GRMZM2G467169																	
																														GRMZM2G047658																	GRMZM2G126774	GRMZM2G467184																	
																														GRMZM2G454980																	GRMZM2G131327	GRMZM2G467339																	
																														GRMZM2G004483																	AC188128.3_FG004	GRMZM2G467435																	
																														GRMZM2G419455																	GRMZM2G427966	GRMZM2G467497																	
																														GRMZM2G097141																	GRMZM2G067171	GRMZM2G467799																	
																														GRMZM2G423233																	GRMZM2G428680	GRMZM2G468014																	
																														GRMZM2G476848																	GRMZM5G875564	GRMZM2G468799																	
																														GRMZM5G800723																	GRMZM2G168614	GRMZM2G468855																	
																														GRMZM2G146034																	GRMZM2G051138	GRMZM2G469012																	
																														AC197164.4_FG002																	GRMZM2G113790	GRMZM2G469024																	
																														GRMZM2G140282																	GRMZM2G403003	GRMZM2G469162																	
																														GRMZM5G817777																	GRMZM5G828375	GRMZM2G469697																	
																														GRMZM2G459561																	GRMZM2G049194	GRMZM2G469795																	
																														GRMZM2G465165																	GRMZM2G108892	GRMZM2G469969																	
																														GRMZM2G000775																	GRMZM2G329300	GRMZM2G470048																	
																														GRMZM2G122187																	GRMZM2G117108	GRMZM2G470438																	
																														GRMZM2G136850																	GRMZM2G104047	GRMZM2G470513																	
																														GRMZM2G111737																	GRMZM2G113463	GRMZM2G470556																	
																														GRMZM2G099067																	GRMZM2G035999	GRMZM2G470740																	
																														GRMZM2G089638																	AC177837.3_FG007	GRMZM2G471115																	
																														GRMZM2G166686																	GRMZM2G331154	GRMZM2G471119																	
																														GRMZM2G120940																	GRMZM2G168234	GRMZM2G471186																	
																														AC149818.2_FG009																	GRMZM2G149788	GRMZM2G471733																	
																														GRMZM2G123452																	GRMZM2G014917	GRMZM2G472052																	
																														GRMZM2G493524																	AC231745.1_FG004	GRMZM2G472060																	
																														GRMZM2G402262																	GRMZM5G845922	GRMZM2G472171																	
																														GRMZM2G171223																	GRMZM2G463160	GRMZM2G472231																	
																														GRMZM2G076140																	GRMZM2G125387	GRMZM2G472346																	
																														GRMZM2G549443																	GRMZM2G411916	GRMZM2G472376																	
																														GRMZM2G033280																	GRMZM2G149153	GRMZM2G472428																	
																														GRMZM2G448051																	GRMZM2G106017	GRMZM2G472625																	
																														GRMZM2G021436																	GRMZM2G569341	GRMZM2G472651																	
																														GRMZM2G019443																	GRMZM2G448282	GRMZM2G472693																	
																														GRMZM5G841812																	GRMZM2G497062	GRMZM2G472696																	
																														GRMZM2G146422																	GRMZM2G042855	GRMZM2G472827																	
																														GRMZM2G119397																	GRMZM2G162250	GRMZM2G473001																	
																														GRMZM2G052011																	GRMZM2G177198	GRMZM2G473138																	
																														GRMZM2G309071																	GRMZM2G090190	GRMZM2G473310																	
																														GRMZM2G368410																	GRMZM2G172980	GRMZM2G473385																	
																														GRMZM2G332294																	GRMZM2G110906	GRMZM2G473788																	
																														GRMZM2G118919																	GRMZM2G567348	GRMZM2G473891																	
																														GRMZM5G853340																	GRMZM5G813105	GRMZM2G474236																	
																														GRMZM2G155837																	GRMZM2G474798	GRMZM2G474451																	
																														GRMZM2G468495																	GRMZM2G546964	GRMZM2G474774																	
																														GRMZM2G482383																	GRMZM5G854499	GRMZM2G475017																	
																														GRMZM2G040509																	GRMZM2G127412	GRMZM2G475362																	
																														GRMZM2G590008																	GRMZM2G301399	GRMZM2G475504																	
																														GRMZM2G348241																	AC205703.4_FG010	GRMZM2G475583																	
																														GRMZM2G352601																	GRMZM2G161527	GRMZM2G475867																	
																														GRMZM2G046933																	AC212191.4_FG001	GRMZM2G475882																	
																														GRMZM5G881162																	AC194322.4_FG004	GRMZM2G475899																	
																														GRMZM2G040911																	GRMZM2G111603	GRMZM2G476107																	
																														GRMZM2G365613																	GRMZM5G802858	GRMZM2G476523																	
																														GRMZM5G864689																	GRMZM2G018946	GRMZM2G476538																	
																														GRMZM2G473274																	GRMZM2G053500	GRMZM2G476555																	
																														GRMZM2G081180																	GRMZM2G151979	GRMZM2G476637																	
